,Precision,Recall,F-measure,Model,Score Method
0,0.25252229881026844,0.17264653671825525,0.1807700739563423,TextRank,rouge1
1,0.18488133081715283,0.1163089895698723,0.12345401083991904,TextRank,rougeL
2,0.28116832566513217,0.3173661259657755,0.2756544964630877,Luhn,rouge1
3,0.19286133226766208,0.20998488704659168,0.1859131126811662,Luhn,rougeL
4,0.25985242787210033,0.1998935656390496,0.21302090142663976,LSA,rouge1
5,0.18012239187663273,0.13134089123333623,0.14295502777404942,LSA,rougeL
6,0.2652218380712955,0.22554096204383503,0.2185919884985633,Embeding,rouge1
7,0.1852411805352614,0.14717810959119393,0.14445993748279387,Embeding,rougeL
8,0.1891288028554405,0.14643175045379245,0.1540138656666797,own,rouge1
9,0.1251990228646152,0.09201714028549943,0.098881273179685,own,rougeL
